"","Fecha","campaign_id","Cantidad_llamadas"
"186",2019-11-14,10003,91
"187",2019-11-15,10003,121
"188",2019-11-18,10003,107
"189",2019-11-19,10003,89
"190",2019-11-20,10003,86
"191",2019-11-21,10003,59
"192",2019-11-22,10003,43
"193",2019-11-25,10003,78
"194",2019-11-26,10003,70
"195",2019-11-27,10003,82
"196",2019-11-28,10003,84
"197",2019-11-29,10003,81
"198",2019-12-02,10003,96
"199",2019-12-03,10003,93
"200",2019-12-04,10003,95
"201",2019-12-05,10003,91
"202",2019-12-06,10003,89
"203",2019-12-09,10003,122
"204",2019-12-10,10003,89
"205",2019-12-11,10003,84
"206",2019-12-12,10003,99
"207",2019-12-13,10003,63
"208",2019-12-16,10003,95
"209",2019-12-17,10003,85
"210",2019-12-18,10003,116
"211",2019-12-19,10003,68
"212",2019-12-20,10003,93
"213",2019-12-22,10003,1
"214",2019-12-23,10003,95
"215",2019-12-24,10003,57
"216",2019-12-26,10003,74
"217",2019-12-27,10003,81
"218",2019-12-30,10003,79
"219",2019-12-31,10003,14
"220",2020-01-02,10003,102
"221",2020-01-03,10003,64
"222",2020-01-07,10003,78
"223",2020-01-08,10003,72
"224",2020-01-09,10003,78
"225",2020-01-10,10003,74
"226",2020-01-13,10003,93
"227",2020-01-14,10003,93
"228",2020-01-15,10003,104
"229",2020-01-16,10003,113
"230",2020-01-17,10003,89
"231",2020-01-20,10003,111
"232",2020-01-21,10003,95
"233",2020-01-22,10003,78
"234",2020-01-23,10003,70
"235",2020-01-24,10003,49
"236",2020-01-25,10003,2
"237",2020-01-26,10003,2
"238",2020-01-27,10003,108
"239",2020-01-28,10003,149
"240",2020-01-29,10003,105
"241",2020-01-30,10003,116
"242",2020-01-31,10003,172
"243",2020-02-03,10003,101
"244",2020-02-04,10003,135
"245",2020-02-05,10003,125
"246",2020-02-06,10003,88
"247",2020-02-07,10003,115
"248",2020-02-08,10003,4
"249",2020-02-10,10003,88
"250",2020-02-11,10003,89
"251",2020-02-12,10003,81
"252",2020-02-13,10003,156
"253",2020-02-14,10003,82
"254",2020-02-15,10003,9
"255",2020-02-17,10003,108
"256",2020-02-18,10003,131
"257",2020-02-19,10003,143
"258",2020-02-20,10003,105
"259",2020-02-21,10003,92
"260",2020-02-22,10003,1
"261",2020-02-24,10003,146
"262",2020-02-25,10003,118
"263",2020-02-26,10003,101
"264",2020-02-27,10003,24
"265",2020-02-28,10003,65
"266",2020-02-29,10003,1
"267",2020-03-02,10003,122
"268",2020-03-03,10003,111
"269",2020-03-04,10003,119
"270",2020-03-05,10003,181
"271",2020-03-06,10003,154
"272",2020-03-07,10003,12
"273",2020-03-09,10003,114
"274",2020-03-10,10003,101
"275",2020-03-11,10003,95
"276",2020-03-12,10003,115
"277",2020-03-13,10003,73
"278",2020-03-14,10003,1
"279",2020-03-16,10003,102
"280",2020-03-17,10003,151
"281",2020-03-18,10003,92
"282",2020-03-19,10003,128
"283",2020-03-20,10003,124
"284",2020-03-21,10003,5
"285",2020-03-24,10003,123
"286",2020-03-25,10003,135
"287",2020-03-26,10003,102
"288",2020-03-27,10003,123
"289",2020-03-30,10003,108
"290",2020-03-31,10003,111
"291",2020-04-01,10003,90
"292",2020-04-02,10003,119
"293",2020-04-03,10003,136
"294",2020-04-06,10003,136
"295",2020-04-07,10003,97
"296",2020-04-08,10003,97
"297",2020-04-11,10003,11
"298",2020-04-13,10003,108
"299",2020-04-14,10003,112
"300",2020-04-15,10003,108
"301",2020-04-16,10003,96
"302",2020-04-17,10003,106
"303",2020-04-20,10003,127
"304",2020-04-21,10003,94
"305",2020-04-22,10003,73
"306",2020-04-23,10003,93
"307",2020-04-24,10003,108
"308",2020-04-27,10003,120
"309",2020-04-28,10003,152
"310",2020-04-29,10003,132
"311",2020-04-30,10003,166
"312",2020-05-04,10003,135
"313",2020-05-05,10003,145
"314",2020-05-06,10003,104
"315",2020-05-07,10003,127
"316",2020-05-08,10003,188
"317",2020-05-11,10003,140
"318",2020-05-12,10003,119
"319",2020-05-13,10003,117
"320",2020-05-14,10003,186
"321",2020-05-15,10003,127
"322",2020-05-18,10003,176
"323",2020-05-19,10003,143
"324",2020-05-20,10003,143
"325",2020-05-21,10003,97
"326",2020-05-22,10003,66
"327",2020-05-26,10003,147
"328",2020-05-27,10003,102
"329",2020-05-28,10003,105
"330",2020-05-29,10003,102
"331",2020-06-01,10003,62
"332",2020-06-02,10003,62
"333",2020-06-03,10003,74
"334",2020-06-04,10003,48
"335",2020-06-05,10003,82
"336",2020-06-08,10003,115
"337",2020-06-09,10003,121
"338",2020-06-10,10003,101
"339",2020-06-11,10003,87
"340",2020-06-12,10003,178
"341",2020-06-16,10003,135
"342",2020-06-17,10003,107
"343",2020-06-18,10003,105
"344",2020-06-19,10003,61
"345",2020-06-23,10003,94
"346",2020-06-24,10003,84
"347",2020-06-25,10003,88
"348",2020-06-26,10003,74
"349",2020-06-30,10003,65
"350",2020-07-01,10003,92
"351",2020-07-02,10003,51
"352",2020-07-03,10003,81
"353",2020-07-06,10003,73
"354",2020-07-07,10003,105
"355",2020-07-08,10003,90
"356",2020-07-09,10003,107
"357",2020-07-10,10003,96
"358",2020-07-13,10003,117
"359",2020-07-14,10003,88
"360",2020-07-15,10003,87
"361",2020-07-16,10003,142
"362",2020-07-17,10003,91
"363",2020-07-21,10003,100
"364",2020-07-22,10003,121
"365",2020-07-23,10003,70
"366",2020-07-24,10003,96
"367",2020-07-27,10003,81
"368",2020-07-28,10003,111
"369",2020-07-29,10003,114
"370",2020-07-30,10003,89
"371",2020-07-31,10003,116
"372",2020-08-01,10003,17
"373",2020-08-03,10003,165
"374",2020-08-04,10003,167
"375",2020-08-05,10003,156
"376",2020-08-06,10003,260
"377",2020-08-10,10003,115
"378",2020-08-11,10003,123
"379",2020-08-12,10003,130
"380",2020-08-13,10003,143
"381",2020-08-14,10003,102
"382",2020-08-18,10003,148
"383",2020-08-19,10003,209
"384",2020-08-20,10003,164
"385",2020-08-21,10003,148
"386",2020-08-24,10003,178
"387",2020-08-25,10003,150
"388",2020-08-26,10003,119
"389",2020-08-27,10003,138
"390",2020-08-28,10003,7
"391",2019-01-02,10006,161
"392",2019-01-03,10006,138
"393",2019-01-04,10006,112
"394",2019-01-05,10006,30
"395",2019-01-08,10006,271
"396",2019-01-09,10006,154
"397",2019-01-10,10006,114
"398",2019-01-11,10006,110
"399",2019-01-12,10006,19
"400",2019-01-14,10006,211
"401",2019-01-15,10006,257
"402",2019-01-16,10006,151
"403",2019-01-17,10006,170
"404",2019-01-18,10006,165
"405",2019-01-19,10006,20
"406",2019-01-21,10006,471
"407",2019-01-22,10006,493
"408",2019-01-23,10006,282
"409",2019-01-24,10006,150
"410",2019-01-25,10006,123
"411",2019-01-26,10006,31
"412",2019-01-28,10006,141
"413",2019-01-29,10006,168
"414",2019-01-30,10006,136
"415",2019-01-31,10006,150
"416",2019-02-01,10006,235
"417",2019-02-02,10006,17
"418",2019-02-04,10006,207
"419",2019-02-05,10006,162
"420",2019-02-06,10006,150
"421",2019-02-07,10006,136
"422",2019-02-08,10006,140
"423",2019-02-09,10006,25
"424",2019-02-11,10006,138
"425",2019-02-12,10006,243
"426",2019-02-13,10006,172
"427",2019-02-14,10006,146
"428",2019-02-15,10006,144
"429",2019-02-16,10006,27
"430",2019-02-18,10006,181
"431",2019-02-19,10006,133
"432",2019-02-20,10006,87
"433",2019-02-21,10006,129
"434",2019-02-22,10006,199
"435",2019-02-23,10006,23
"436",2019-02-25,10006,269
"437",2019-02-26,10006,321
"438",2019-02-27,10006,286
"439",2019-02-28,10006,226
"440",2019-03-01,10006,127
"441",2019-03-02,10006,37
"442",2019-03-04,10006,126
"443",2019-03-05,10006,121
"444",2019-03-06,10006,104
"445",2019-03-07,10006,125
"446",2019-03-08,10006,96
"447",2019-03-09,10006,29
"448",2019-03-11,10006,114
"449",2019-03-12,10006,111
"450",2019-03-13,10006,122
"451",2019-03-14,10006,126
"452",2019-03-15,10006,119
"453",2019-03-16,10006,18
"454",2019-03-18,10006,114
"455",2019-03-19,10006,108
"456",2019-03-20,10006,116
"457",2019-03-21,10006,90
"458",2019-03-22,10006,127
"459",2019-03-23,10006,19
"460",2019-03-26,10006,109
"461",2019-03-27,10006,96
"462",2019-03-28,10006,98
"463",2019-03-29,10006,77
"464",2019-03-30,10006,19
"465",2019-04-01,10006,119
"466",2019-04-02,10006,108
"467",2019-04-03,10006,158
"468",2019-04-04,10006,379
"469",2019-04-05,10006,337
"470",2019-04-06,10006,14
"471",2019-04-08,10006,345
"472",2019-04-09,10006,300
"473",2019-04-10,10006,214
"474",2019-04-11,10006,215
"475",2019-04-12,10006,272
"476",2019-04-13,10006,17
"477",2019-04-15,10006,309
"478",2019-04-16,10006,367
"479",2019-04-17,10006,268
"480",2019-04-19,10006,25
"481",2019-04-20,10006,19
"482",2019-04-22,10006,290
"483",2019-04-23,10006,250
"484",2019-04-24,10006,288
"485",2019-04-25,10006,442
"486",2019-04-26,10006,298
"487",2019-04-27,10006,22
"488",2019-04-29,10006,248
"489",2019-04-30,10006,188
"490",2019-05-02,10006,251
"491",2019-05-03,10006,208
"492",2019-05-04,10006,14
"493",2019-05-06,10006,117
"494",2019-05-07,10006,94
"495",2019-05-08,10006,109
"496",2019-05-09,10006,107
"497",2019-05-10,10006,78
"498",2019-05-11,10006,8
"499",2019-05-13,10006,92
"500",2019-05-14,10006,97
"501",2019-05-15,10006,73
"502",2019-05-16,10006,88
"503",2019-05-17,10006,86
